Time,Linear kinetic energy,Angular kinetic energy,Kinetic energy (sum)
284.433,59370.7,29686.8,89057.6
284.45,59634.7,29818.8,89453.6
284.467,59899.5,29951.1,89850.6
284.483,60164.2,30084,90248.2
284.5,60430.1,30216.7,90646.8
284.517,60696.5,30349.8,91046.3
284.533,60963.5,30483.3,91446.7
284.55,61231,30617,91848
284.567,61499.2,30751,92250.2
284.583,61768.1,30885.4,92653.5
284.6,62037.3,31020.1,93057.4
284.617,62307.2,31155.1,93462.2
284.633,62577.6,31290.2,93867.9
284.65,62848.3,31426.1,94274.4
284.667,63120.2,31561.6,94681.8
284.683,63392.5,31697.7,95090.2
284.7,63665.2,31834.1,95499.4
284.717,63938.6,31970.8,95909.4
284.733,64212.6,32107.8,96320.4
284.75,64487,32245.2,96732.2
284.767,64762.2,32382.7,97144.9
284.783,65038,32520.5,97558.5
284.8,65314.3,32658.7,97973
284.817,65590.9,32797.4,98388.3
284.833,65868.8,32935.9,98804.7
284.85,66146.7,33075,99221.7
284.867,66425.5,33214.2,99639.7
284.883,66704.7,33353.9,100059
284.9,66984.4,33493.8,100478
284.917,67264.8,33634,100899
284.933,67545.7,33774.4,101320
284.95,67827.2,33915.4,101743
284.967,68109.3,34056.4,102166
284.983,68391.8,34198,102590
285,68675.5,34339.4,103015
285.017,68959.4,34481.3,103441
285.033,69244,34623.5,103867
285.05,69529.1,34766,104295
285.067,69814.6,34909,104724
285.083,70100.9,35052.2,105153
285.1,70387.7,35195.6,105583
285.117,70675.2,35339.3,106014
285.133,70963.3,35483.3,106447
285.15,71251.8,35627.7,106879
285.167,71541.1,35772.2,107313
285.183,71830.6,35917.3,107748
285.2,72121.2,36062.3,108184
285.217,72412.1,36207.8,108620
285.233,72703.8,36353.5,109057
285.25,72995.9,36499.6,109495
285.267,73288.6,36646,109935
285.283,73581.8,36792.7,110374
285.3,73875.8,36939.6,110815
285.317,74170.2,37086.8,111257
285.333,74465.2,37234.3,111700
285.35,74760.8,37382.2,112143
285.367,75057,37530.4,112587
285.383,75353.8,37678.8,113033
285.4,75650.8,37827.8,113479
285.417,75949.1,37976.5,113926
285.433,76247.7,38125.7,114373
285.45,76546.7,38275.5,114822
285.467,76846.6,38425.2,115272
285.483,77147,38575.2,115722
285.5,77447.8,38725.7,116174
285.517,77749.1,38876.6,116626
285.533,78051.3,39027.5,117079
285.55,78353.9,39178.9,117533
285.567,78657.2,39330.5,117988
285.583,78960.8,39482.6,118443
285.6,79265.4,39634.6,118900
285.617,79570.4,39787.1,119358
285.633,79876,39940,119816
285.65,80181.8,40093.4,120275
285.667,80488.9,40246.4,120735
285.683,80796.2,40400.1,121196
285.7,81104.2,40554,121658
285.717,81412.8,40708.3,122121
285.733,81721.8,40862.9,122585
285.75,82031.6,41017.7,123049
285.767,82341.8,41172.9,123515
285.783,82652.6,41328.4,123981
285.8,82964,41484.2,124448
285.817,83276.1,41640.1,124916
285.833,83588.7,41796.5,125385
285.85,83902.1,41952.9,125855
285.867,84215.6,42110.1,126326
285.883,96470.7,27545.4,124016
285.9,96000.9,27545.4,123546
285.917,95533.9,27545.4,123079
285.933,95069.4,27545.4,122615
285.95,94607.7,27545.4,122153
285.967,94148.7,27545.4,121694
285.983,93692.3,27545.4,121238
286,93238.6,27545.4,120784
286.017,92787.6,27545.4,120333
286.033,92339.3,27545.4,119885
286.05,91893.6,27545.4,119439
286.067,91450.7,27545.4,118996
286.083,91010.4,27545.4,118556
286.1,90572.8,27545.4,118118
286.117,90137.8,27545.4,117683
286.133,89705.6,27545.4,117251
286.15,89276.1,27545.4,116822
286.167,88849.2,27545.4,116395
286.183,88425,27545.4,115970
286.2,88003.4,27545.4,115549
286.217,87584.6,27545.4,115130
286.233,87168.4,27545.4,114714
286.25,86755,27545.4,114300
286.267,86344.1,27545.4,113890
286.283,85936.1,27545.4,113482
286.3,85530.6,27545.4,113076
286.317,85127.9,27545.4,112673
286.333,84727.8,27545.4,112273
286.35,84330.4,27545.4,111876
286.367,83935.7,27545.4,111481
286.383,83543.7,27545.4,111089
286.4,83154.4,27545.4,110700
286.417,82767.8,27545.4,110313
286.433,82383.8,27545.4,109929
286.45,82002.5,27545.4,109548
286.467,81623.9,27545.4,109169
286.483,81248,27545.4,108793
286.5,80874.8,27545.4,108420
