Time,Acceleration (x)
87.7167,3.68721e-008
87.7333,-3.78109e-006
87.75,3.56073e-006
87.7667,-3.46048e-006
87.7833,-1.0158e-007
87.8,3.78449e-006
87.8167,-3.58137e-006
87.8333,3.66598e-006
87.85,-2.43701e-007
87.8667,-3.5817e-006
87.8833,3.65427e-006
87.9,2.60207e-007
87.9167,-3.83638e-006
87.9333,3.62356e-006
87.95,-3.51854e-006
87.9667,-1.61295e-007
87.9833,3.59021e-006
88,-3.56655e-006
88.0167,3.56759e-006
88.0333,2.58635e-007
88.05,-3.6801e-006
88.0667,3.46452e-006
88.0833,-3.58392e-006
88.1,-3.19082e-007
88.1167,4.05476e-006
88.1333,-3.60004e-006
88.15,-3.21412e-007
88.1667,3.76246e-006
88.1833,-3.49052e-006
88.2,3.35598e-006
88.2167,4.37398e-007
88.2333,-3.85922e-006
88.25,3.64921e-006
88.2667,-3.76462e-006
88.2833,-2.14957e-007
88.3,3.84344e-006
88.3167,-3.64329e-006
88.3333,3.54268e-006
88.35,2.18472e-007
88.3667,-3.52505e-006
88.3833,3.41907e-006
88.4,-3.72976e-006
88.4167,1.05562e-007
88.4333,3.68339e-006
88.45,-3.56473e-006
88.4667,-3.26736e-007
88.4833,4.00496e-006
88.5,-3.66626e-006
88.5167,3.49141e-006
88.5333,2.14175e-007
88.55,-3.78131e-006
88.5667,3.56741e-006
88.5833,-3.49572e-006
88.6,-1.225e-007
88.6167,3.62795e-006
88.6333,-3.58989e-006
88.65,3.67871e-006
88.6667,2.28094e-007
88.6833,-3.79426e-006
88.7,3.44761e-006
88.7167,1.44144e-007
88.7333,-3.57265e-006
88.75,3.5613e-006
88.7667,-3.65471e-006
88.7833,-3.06614e-007
88.8,3.85347e-006
88.8167,-3.66593e-006
88.8333,3.76381e-006
88.85,2.3087e-007
88.8667,-3.86273e-006
88.8833,3.65518e-006
88.9,-3.58791e-006
88.9167,-7.69948e-008
88.9333,3.57461e-006
88.95,-3.54899e-006
88.9667,-1.08535e-007
88.9833,3.60392e-006
89,-3.59144e-006
89.0167,6.97034e-005
89.0333,-6.07163e-005
89.05,-8.45955e-006
89.0667,3.11815e-006
89.0833,-3.6077e-006
89.1,-1.26458e-007
89.1167,3.72124e-006
89.1333,-3.59844e-006
89.15,3.66098e-006
89.1667,-1.14933e-007
89.1833,-3.49016e-006
89.2,3.53948e-006
89.2167,2.33138e-007
89.2333,-3.76858e-006
89.25,3.57763e-006
89.2667,-3.49183e-006
89.2833,-1.66791e-007
89.3,3.59096e-006
89.3167,-3.59608e-006
89.3333,3.6281e-006
89.35,1.25231e-007
89.3667,-3.59353e-006
89.3833,3.35295e-006
89.4,-3.38576e-006
89.4167,-3.10192e-007
89.4333,3.91555e-006
89.45,-3.64212e-006
